Word,Pos_Score,Neg_Score,Obj_Score
पीछे,0.03125,0.03125,0.9375
हतप्रभ,0.0625,0.0625,0.875
छोड़ा हुआ,0.25,0.1875,0.5625
लज्जित,0.0,0.5625,0.4375
लज्जित रूप से,0,0,0
उदर सम्बन्धी,0.0,0.0,1.0
उदर सम्बन्धी रूप से,0,0,0
असामान्य,0.291015625,0.1982421875,0.5107421875
असामान्य रूप से,0.0625,0.1875,0.75
घृणित,0.051828125,0.480642578125,0.467529296875
घृणित रूप से,0,0,0
स्थाई,0.375,0.0,0.625
अति,0.3515625,0.3046875,0.34375
बहुत ज्यादा,0.232421875,0.111328125,0.65625
बहुत ज्यादा रूप से,0.375,0.0,0.625
जला हुआ,0.1875,0.125,0.6875
समर्थ,0.3328857421875,0.0289306640625,0.63818359375
चतुर,0.375,0.1875,0.4375
समर्थ रूप से,0.375,0.0,0.625
सवार,0.0,0.0,1.0
आदिम,0.1875,0.1875,0.625
आदिम रूप से,0,0,0
निष्फल,0.0078125,0.552734375,0.439453125
निष्फल रूप से,0.25,0.0,0.75
चारो ओर,0.01025390625,0.001220703125,0.988525390625
इधर उधर,0.00390625,0.001953125,0.994140625
लगभग,0.1116180419921875,0.13702392578125,0.7513580322265625
बहुत हो गया,0.00390625,0.001953125,0.994140625
ऊँचा,0.10882568359375,0.01055908203125,0.880615234375
ऊपर का,0.0625,0.0078125,0.9296875
चोट पहुँचाने वाला,0.08325,0.2605,0.65625
रगड़ के,0,0,0
बराबर में,0.125,0.0,0.875
संक्षिप्त,0.09375,0.0,0.90625
संक्षिप्त रूप से,0,0,0
विदेश में,0.0,0.0,1.0
प्रचलित,0.03125,0.125,0.84375
आकस्मिक,0.2288818359375,0.17889404296875,0.59222412109375
रूखा,0.11577820777893066,0.237024188041687,0.6471976041793823
असम्बद्ध,0.109375,0.265625,0.625
आकस्मिक रुप से,0.0,0.0,1.0
अनुपस्थित,0.078125,0.25,0.671875
भुलक्कड़,0.125,0.25,0.625
अनमना,0,0,0
खोया-खोया,0,0,0
अनुपस्थित रूप से,0.5,0.0,0.5
पूर्णतया,0.06298828125,0.1728515625,0.76416015625
पूर्णतः,0.283599853515625,0.149658203125,0.566741943359375
लीन,0.125,0.0625,0.8125
सोखा हुआ,0.125,0.0625,0.8125
दिलचस्प,0.5,0.125,0.375
दिलचस्प रूप से,0,0,0
संयमी,0.14453125,0.2255859375,0.6298828125
संयमी रूप से,0.25,0.0,0.75
अमूर्त,0.0,0.03125,0.96875
निराकार,0.0,0.0625,0.9375
गूढ़,0.041015625,0.0517578125,0.9072265625
अन्यमनस्क,0.375,0.125,0.5
जटिल,0.1015625,0.216796875,0.681640625
कठिन,0.043111801613122225,0.0974838649854064,0.8594043334014714
कठिन रूप से,0.0,0.25,0.75
निरर्थक,0.1875,0.0,0.8125
बेतुका,0.068359375,0.0859375,0.845703125
मूर्ख,0.140625,0.3544921875,0.5048828125
बुद्धिरूद्ध,0.25,0.0,0.75
बेतुके रूप से,0.0,0.0,1.0
बहुत सारा,0.0,0.125,0.875
प्रचुर,0.01003265380859375,0.017337799072265625,0.9726295471191406
ढेर,0.0,0.25,0.75
ढेरों में,0.0,0.0,1.0
निन्दक कुत्सावादी,0.0,0.875,0.125
निन्दक कुत्सावादी रूप से,0.5,0.375,0.125
बहुत खराब,0.125,0.3671875,0.5078125
बहुत खराब रूप से,0.0,0.75,0.25
शैक्षिक,0.03125,0.0390625,0.9296875
सैद्धांतिक,0.0625,0.078125,0.859375
शैक्षिक रूप से,0.125,0.0,0.875
स्वीकार्य,0.26953125,0.125,0.60546875
स्वीकार्य रूप से,0.5,0.0,0.5
अभिगम्य,0.4375,0.015625,0.546875
संयोगवश,0.0703125,0.0078125,0.921875
सहयोग देना,0.5,0.0,0.5
सहयोगी रूप से,0.0,0.0,1.0
निपुण,0.460205078125,0.03125,0.508544921875
तदनुसार,0.25,0.125,0.625
उत्तरदायी,0.1953125,0.046875,0.7578125
उत्तरदायी रूप से,0,0,0
संचयी,0.1875,0.0,0.8125
संचयी रूप से,0,0,0
सही,0.15256985509631704,0.0159702319670032,0.8314599129366798
सही ढंग से,0.125,0.0,0.875
अभियोगात्मक रूप से,0,0,0
अभियोगात्मक,0.0,0.5,0.5
दोष लगाते हुए,0.0,0.5,0.5
आरोप लगाते हुए,0.375,0.125,0.5
अभ्यस्त,0.078125,0.0,0.921875
बहुत अच्छा,0.18902587890625,0.075927734375,0.73504638671875
तीखा,0.2547607421875,0.1597900390625,0.58544921875
खटास भरा,0.0,0.0,1.0
खटास भरे रूप से,0,0,0
प्राप्तव्य रूप से,0,0,0
प्राप्तव्य,0.25,0.0,0.75
अम्लीय,0.0625,0.25,0.6875
खट्टा,0.01568603515625,0.18682861328125,0.7974853515625
अम्लवत्,0.125,0.375,0.5
स्वभाव में तीखा,0.125,0.375,0.5
ध्वनि संबंधी,0.0,0.0,1.0
ध्वनि संबंधी रूप से,0.25,0.0,0.75
परिचित,0.3369140625,0.0029296875,0.66015625
सहमत होना,0.25,0.0,0.75
सहमत होते हुए,0,0,0
अर्जनशील,0.0,0.0,1.0
अर्जनशील रूप से,0,0,0
उग्र स्वभाव,0.125,0.3125,0.5625
बदबू,0.125,0.3125,0.5625
कटु रूप से,0,0,0
कटु,0.15625,0.421875,0.421875
नटीय,0.375,0.0,0.625
नटीय रूप से,0,0,0
आरपार,0.0,0.0,1.0
उस पार,0.0,0.0,1.0
कोई एक दिशा में,0.0,0.0,1.0
एक्रिलिक,0.0,0.015625,0.984375
कार्यकारी,0.0625,0.0,0.9375
कानूनी कार्यवाही करने योग्य,0.128082275390625,0.00390625,0.868011474609375
सक्रिय,0.3476676940917969,0.025490283966064453,0.6268420219421387
सक्रिय रूप से,0.5,0.0,0.5
वास्तविक,0.173564697265625,0.046802734375,0.779632568359375
वास्तव में,0.015625,0.0,0.984375
वस्तुत,0.03125,0.0,0.96875
बीमांकिकी,0.0,0.0,1.0
तीक्ष्ण,0.16363525390625,0.06866455078125,0.7677001953125
कुशाग्र,0.11865234375,0.0859375,0.79541015625
विकट,0.033203125,0.017578125,0.94921875
तीव्रता से,0.109375,0.0,0.890625
धीरे-धीरे एवं शोभनीय,0.046875,0.03125,0.921875
अडिग,0.0,0.375,0.625
अडिग रूप से,0.0,0.0,1.0
अनुकूलनीय,0.0,0.0,1.0
वशीभूत,0.0,0.0,1.0
लत लगाने वाली वस्तु,0.0,0.625,0.375
लत लगाने वाली वस्तु रूप से,0,0,0
इसके अतिरिक्त,0.0,0.0,1.0
अतिरिक्त,0.03125,0.298828125,0.669921875
व्याकुल,0.04248046875,0.4603271484375,0.4971923828125
गिल्टी वाला,0.0,0.0,1.0
माहिर,0.375,0.0,0.625
माहिर रूप से,0,0,0
पर्याप्त,0.11328125,0.3779296875,0.5087890625
योग्य,0.51171875,0.04443359375,0.44384765625
पर्याप्त रूप में,0.25,0.0,0.75
चिपचिपा,0.03125,0.140625,0.828125
तदर्थ,0.03125,0.0,0.96875
